t [s];Velocidad [km/h];;;;;
0;0;;;;;
1;2,016785124;;;;;
2;3,612102715;;;;;
3;4,633578119;;;;;
4;5,178787092;;;;;
5;5,392312475;;;;;
6;5,321523022;;;;;
7;4,973925451;;;;;
8;4,362538033;;;;;
9;3,508537021;;;;;
10;2,505733851;;;;;
11;1,507386743;;;;;
12;0;;;;;
13;0;;;;;
14;0;;;;;
15;0;;;;;
16;0;;;;;
17;0;;;;;
18;0;;;;;
19;0;;;;;
20;0;;;;;
21;0;;;;;
22;0;;;;;
23;0;;;;;
24;0;;;;;
25;0;;;;;
26;0;;;;;
27;0;;;;;
28;0;;;;;
29;0;;;;;
30;0;;;;;
31;0;;;;;
32;0,624402091;;;;;
33;2,139028504;;;;;
34;4,499539889;;;;;
35;7,58046281;;;;;
36;10,95555945;;;;;
37;14,08506595;;;;;
38;16,52646247;;;;;
39;18,13507033;;;;;
40;18,7908342;;;;;
41;18,718789;;;;;
42;18,10887907;;;;;
43;17,30968055;;;;;
44;16,47365694;;;;;
45;15,81429044;;;;;
46;15,53716647;;;;;
47;15,83370686;;;;;
48;16,54373689;;;;;
49;17,68395008;;;;;
50;18,93360769;;;;;
51;20,26609816;;;;;
52;21,40478057;;;;;
53;22,36422466;;;;;
54;23,19171058;;;;;
55;23,70960837;;;;;
56;23,60316343;;;;;
57;22,93165053;;;;;
58;21,99216124;;;;;
59;21,39636499;;;;;
60;21,34607252;;;;;
61;21,65663754;;;;;
62;21,76763029;;;;;
63;20,76286591;;;;;
64;17,9603353;;;;;
65;13,53820678;;;;;
66;8,52958003;;;;;
67;4,176015517;;;;;
68;1,231288919;;;;;
69;0;;;;;
70;0;;;;;
71;0;;;;;
72;0;;;;;
73;0;;;;;
74;0;;;;;
75;0;;;;;
76;0;;;;;
77;0;;;;;
78;0;;;;;
79;0;;;;;
80;0;;;;;
81;0;;;;;
82;0;;;;;
83;0;;;;;
84;0;;;;;
85;0;;;;;
86;0;;;;;
87;0;;;;;
88;0;;;;;
89;0;;;;;
90;0;;;;;
91;0;;;;;
92;0;;;;;
93;0;;;;;
94;0;;;;;
95;0;;;;;
96;0;;;;;
97;0;;;;;
98;0;;;;;
99;0;;;;;
100;0;;;;;
101;0;;;;;
102;0;;;;;
103;0;;;;;
104;0;;;;;
105;1,697368865;;;;;
106;2,778025299;;;;;
107;3,942496205;;;;;
108;5,20050194;;;;;
109;6,628387924;;;;;
110;8,241172542;;;;;
111;9,97415011;;;;;
112;11,55357463;;;;;
113;12,49190285;;;;;
114;12,51162827;;;;;
115;11,69304773;;;;;
116;10,32238624;;;;;
117;8,844324507;;;;;
118;7,631301737;;;;;
119;6,874502277;;;;;
120;6,513297352;;;;;
121;6,46159015;;;;;
122;6,620379828;;;;;
123;6,843973689;;;;;
124;6,941366841;;;;;
125;6,805527408;;;;;
126;6,336009445;;;;;
127;5,356132906;;;;;
128;3,82555102;;;;;
129;2,214701973;;;;;
130;0,898099511;;;;;
131;0;;;;;
132;0;;;;;
133;0;;;;;
134;4,300263788;;;;;
135;6,862768089;;;;;
136;9,079535166;;;;;
137;10,72284163;;;;;
138;11,66768089;;;;;
139;12,14194704;;;;;
140;12,38722685;;;;;
141;12,69048676;;;;;
142;13,19996627;;;;;
143;13,72368831;;;;;
144;13,99099747;;;;;
145;13,94036229;;;;;
146;13,59022027;;;;;
147;13,02081093;;;;;
148;12,25142048;;;;;
149;11,28255153;;;;;
150;10,1056954;;;;;
151;8,746233766;;;;;
152;7,158251307;;;;;
153;5,658001012;;;;;
154;4,452154225;;;;;
155;3,500036701;;;;;
156;2,75948423;;;;;
157;2,155228605;;;;;
158;1,658995649;;;;;
159;1,399565053;;;;;
160;1,439913375;;;;;
161;0;;;;;
